id,left,top,right,bottom
"1355",-2.610429566,52.913290177,-2.610329566,52.913390177
"1386",-2.610329566,52.914590177,-2.610229566,52.914690177
"1387",-2.610329566,52.914490177,-2.610229566,52.914590177
"1388",-2.610329566,52.914390177,-2.610229566,52.914490177
"1389",-2.610329566,52.914290177,-2.610229566,52.914390177
"1390",-2.610329566,52.914190177,-2.610229566,52.914290177
"1391",-2.610329566,52.914090177,-2.610229566,52.914190177
"1392",-2.610329566,52.913990177,-2.610229566,52.914090177
"1393",-2.610329566,52.913890177,-2.610229566,52.913990177
"1394",-2.610329566,52.913790177,-2.610229566,52.913890177
"1395",-2.610329566,52.913690177,-2.610229566,52.913790177
"1396",-2.610329566,52.913590177,-2.610229566,52.913690177
"1397",-2.610329566,52.913490177,-2.610229566,52.913590177
"1398",-2.610329566,52.913390177,-2.610229566,52.913490177
"1429",-2.610229566,52.914690177,-2.610129566,52.914790177
"1430",-2.610229566,52.914590177,-2.610129566,52.914690177
"1431",-2.610229566,52.914490177,-2.610129566,52.914590177
"1432",-2.610229566,52.914390177,-2.610129566,52.914490177
"1433",-2.610229566,52.914290177,-2.610129566,52.914390177
"1434",-2.610229566,52.914190177,-2.610129566,52.914290177
"1435",-2.610229566,52.914090177,-2.610129566,52.914190177
"1436",-2.610229566,52.913990177,-2.610129566,52.914090177
"1437",-2.610229566,52.913890177,-2.610129566,52.913990177
"1438",-2.610229566,52.913790177,-2.610129566,52.913890177
"1439",-2.610229566,52.913690177,-2.610129566,52.913790177
"1440",-2.610229566,52.913590177,-2.610129566,52.913690177
"1441",-2.610229566,52.913490177,-2.610129566,52.913590177
"1442",-2.610229566,52.913390177,-2.610129566,52.913490177
"1473",-2.610129566,52.914690177,-2.610029566,52.914790177
"1474",-2.610129566,52.914590177,-2.610029566,52.914690177
"1475",-2.610129566,52.914490177,-2.610029566,52.914590177
"1476",-2.610129566,52.914390177,-2.610029566,52.914490177
"1477",-2.610129566,52.914290177,-2.610029566,52.914390177
"1478",-2.610129566,52.914190177,-2.610029566,52.914290177
"1479",-2.610129566,52.914090177,-2.610029566,52.914190177
"1480",-2.610129566,52.913990177,-2.610029566,52.914090177
"1481",-2.610129566,52.913890177,-2.610029566,52.913990177
"1482",-2.610129566,52.913790177,-2.610029566,52.913890177
"1483",-2.610129566,52.913690177,-2.610029566,52.913790177
"1484",-2.610129566,52.913590177,-2.610029566,52.913690177
"1485",-2.610129566,52.913490177,-2.610029566,52.913590177
"1517",-2.610029566,52.914690177,-2.609929566,52.914790177
"1518",-2.610029566,52.914590177,-2.609929566,52.914690177
"1519",-2.610029566,52.914490177,-2.609929566,52.914590177
"1520",-2.610029566,52.914390177,-2.609929566,52.914490177
"1521",-2.610029566,52.914290177,-2.609929566,52.914390177
"1522",-2.610029566,52.914190177,-2.609929566,52.914290177
"1523",-2.610029566,52.914090177,-2.609929566,52.914190177
"1524",-2.610029566,52.913990177,-2.609929566,52.914090177
"1525",-2.610029566,52.913890177,-2.609929566,52.913990177
"1526",-2.610029566,52.913790177,-2.609929566,52.913890177
"1527",-2.610029566,52.913690177,-2.609929566,52.913790177
"1528",-2.610029566,52.913590177,-2.609929566,52.913690177
"1529",-2.610029566,52.913490177,-2.609929566,52.913590177
"1561",-2.609929566,52.914690177,-2.609829566,52.914790177
"1562",-2.609929566,52.914590177,-2.609829566,52.914690177
"1563",-2.609929566,52.914490177,-2.609829566,52.914590177
"1564",-2.609929566,52.914390177,-2.609829566,52.914490177
"1565",-2.609929566,52.914290177,-2.609829566,52.914390177
