WKT,FID
"MULTIPOLYGON (((-2.60552858329293 52.9166901773492,-2.60505400316931 52.9163158578297,-2.60460916706245 52.9158614908565,-2.6043739105593 52.9155436292014,-2.60522115114652 52.9152489648597,-2.60587361641827 52.9150575978417,-2.60677474079638 52.9147851824496,-2.60748330683578 52.9145621799621,-2.60782131439694 52.9148026215795,-2.60834053498283 52.9151931349509,-2.60832240326616 52.9152445112557,-2.60794285620267 52.9154031546669,-2.6078775147143 52.915449074482,-2.6078638554932 52.9154833333487,-2.60794880816619 52.9154914455935,-2.60804262708184 52.9154596252836,-2.60812702000848 52.9154278531816,-2.60820258675398 52.9154388623989,-2.60828290645622 52.915452696294,-2.60840188961967 52.9155347098714,-2.60842226138438 52.915642870421,-2.6083101904451 52.9157175207121,-2.60793007963491 52.9158362798692,-2.60619051724579 52.9163749298455,-2.60605936431446 52.9164213116106,-2.60552858329293 52.9166901773492)))","0"
"MULTIPOLYGON (((-2.60885649483156 52.9154451348069,-2.6084829828706 52.9152100143251,-2.60804728875417 52.9148824581653,-2.60758437872654 52.9145241220209,-2.60897030612634 52.9139846682341,-2.60967676840612 52.9136586700848,-2.61053847780662 52.9131913481338,-2.61103380466418 52.9129242891478,-2.61149453569016 52.9126284754128,-2.61198260540397 52.9123325189455,-2.61207790430542 52.9123030968014,-2.6122705452783 52.9123888960531,-2.61342956614796 52.913126849509,-2.61271659677431 52.9134735685395,-2.61219509588603 52.9138234290773,-2.61188394374134 52.9140606129357,-2.61131428147588 52.9143900528672,-2.61083237984204 52.9146405119498,-2.61066286217088 52.9147405754803,-2.61056575311055 52.9146342432017,-2.61046999937564 52.9146105469774,-2.61033830751048 52.9146577406462,-2.61024115286141 52.9147531339,-2.60996448564533 52.9149388948707,-2.60966302528369 52.9151042750406,-2.60885649483156 52.9154451348069)))","1"
"MULTIPOLYGON (((-2.60552858329293 52.9166901773492,-2.60505400316931 52.9163158578297,-2.60460916706245 52.9158614908565,-2.6043739105593 52.9155436292014,-2.60522115114652 52.9152489648597,-2.60587361641827 52.9150575978417,-2.60677474079638 52.9147851824496,-2.60748330683578 52.9145621799621,-2.60782131439694 52.9148026215795,-2.60834053498283 52.9151931349509,-2.60832240326616 52.9152445112557,-2.60794285620267 52.9154031546669,-2.6078775147143 52.915449074482,-2.6078638554932 52.9154833333487,-2.60794880816619 52.9154914455935,-2.60804262708184 52.9154596252836,-2.60812702000848 52.9154278531816,-2.60820258675398 52.9154388623989,-2.60828290645622 52.915452696294,-2.60840188961967 52.9155347098714,-2.60842226138438 52.915642870421,-2.6083101904451 52.9157175207121,-2.60793007963491 52.9158362798692,-2.60619051724579 52.9163749298455,-2.60605936431446 52.9164213116106,-2.60552858329293 52.9166901773492)))",
"MULTIPOLYGON (((-2.60885649483156 52.9154451348069,-2.6084829828706 52.9152100143251,-2.60804728875417 52.9148824581653,-2.60758437872654 52.9145241220209,-2.60897030612634 52.9139846682341,-2.60967676840612 52.9136586700848,-2.61053847780662 52.9131913481338,-2.61103380466418 52.9129242891478,-2.61149453569016 52.9126284754128,-2.61198260540397 52.9123325189455,-2.61207790430542 52.9123030968014,-2.6122705452783 52.9123888960531,-2.61342956614796 52.913126849509,-2.61271659677431 52.9134735685395,-2.61219509588603 52.9138234290773,-2.61188394374134 52.9140606129357,-2.61131428147588 52.9143900528672,-2.61083237984204 52.9146405119498,-2.61066286217088 52.9147405754803,-2.61056575311055 52.9146342432017,-2.61046999937564 52.9146105469774,-2.61033830751048 52.9146577406462,-2.61024115286141 52.9147531339,-2.60996448564533 52.9149388948707,-2.60966302528369 52.9151042750406,-2.60885649483156 52.9154451348069)))",
