DATE,GPS_TIME,GPS_FIX,xcoord,ycoord,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,deepEC,AUX_X3,shallowEC,AUX_X5
220324,80758,21008,-2.604993,52.9162125,105.7,154.5,0.3,0,gps,$PDLM1,100009,87.5,-0.23,27.7,1.38
220324,80759,21008,-2.6049927,52.9162133,105.4,154.2,0.3,0,gps,$PDLM1,100010,87.8,-0.24,27.8,1.38
220324,80800,21008,-2.6049927,52.9162138,105.3,154.1,0.3,0,gps,$PDLM1,100011,87.5,-0.23,27.7,1.39
220324,80801,21008,-2.6049925,52.9162145,105.3,154.1,0.3,0,gps,$PDLM1,100012,87.7,-0.23,27.7,1.38
220324,80802,21008,-2.6049925,52.9162148,105.4,154.2,0.2,0,gps,$PDLM1,100013,87.8,-0.23,27.6,1.38
220324,80803,21008,-2.6049923,52.9162153,105.4,154.2,0.2,0,gps,$PDLM1,100014,87.7,-0.23,27.7,1.38
220324,80804,21008,-2.6049923,52.9162155,105.3,154.1,0.1,0,gps,$PDLM1,100015,87.5,-0.23,27.7,1.38
220324,80805,21008,-2.6049927,52.9162153,105.3,154.1,0,0,gps,$PDLM1,100016,87.7,-0.23,27.7,1.38
220324,80806,21008,-2.6049927,52.9162148,105.3,154.1,0.1,0,gps,$PDLM1,100017,87.7,-0.23,27.7,1.38
220324,80807,21008,-2.6049922,52.9162148,105.3,154.1,0.1,0,gps,$PDLM1,100018,87.8,-0.23,27.6,1.39
220324,80808,21008,-2.6049917,52.9162152,105.3,154.1,0.1,0,gps,$PDLM1,100019,87.7,-0.23,27.6,1.39
220324,80809,21008,-2.6049915,52.9162153,105.3,154.1,0.1,0,gps,$PDLM1,100020,87.6,-0.23,27.5,1.38
220324,80810,21008,-2.6049915,52.9162155,105.3,154.1,0.1,0,gps,$PDLM1,100021,87.7,-0.23,27.7,1.38
220324,80811,21008,-2.6049915,52.9162158,105.3,154.1,0.1,0,gps,$PDLM1,100022,87.8,-0.23,27.6,1.38
220324,80812,21008,-2.604992,52.9162162,105.2,154,0.1,0,gps,$PDLM1,100023,87.7,-0.23,27.5,1.39
220324,80813,21008,-2.6049918,52.9162162,105.2,154,0.1,0,gps,$PDLM1,100024,87.6,-0.23,27.7,1.38
220324,80814,21008,-2.6049918,52.916216,105.1,153.9,0,0,gps,$PDLM1,100025,87.9,-0.23,27.8,1.39
220324,80815,21008,-2.6049913,52.9162157,105,153.8,0.1,0,gps,$PDLM1,100026,87.8,-0.23,27.7,1.38
220324,80816,21008,-2.604991,52.9162158,104.8,153.6,0.1,0,gps,$PDLM1,100027,87.8,-0.23,27.7,1.38
220324,80817,21008,-2.6049905,52.9162163,104.7,153.5,0.1,0,gps,$PDLM1,100028,87.8,-0.23,27.6,1.38
220324,80818,21008,-2.60499,52.9162168,104.6,153.4,0.2,0,gps,$PDLM1,100029,87.6,-0.23,27.7,1.39
220324,80819,21008,-2.6049897,52.9162173,104.5,153.3,0.2,0,gps,$PDLM1,100030,87.7,-0.23,27.8,1.39
220324,80820,21008,-2.6049893,52.9162175,104.4,153.2,0.1,0,gps,$PDLM1,100031,87.7,-0.23,27.7,1.39
220324,80821,21008,-2.6049888,52.9162175,104.3,153.1,0.1,0,gps,$PDLM1,100032,87.8,-0.23,27.7,1.39
220324,80822,21008,-2.6049883,52.9162177,104.1,152.9,0.1,0,gps,$PDLM1,100033,87.9,-0.23,27.8,1.38
220324,80823,21008,-2.604988,52.916218,104.1,152.9,0.1,0,gps,$PDLM1,100034,87.9,-0.23,27.8,1.38
220324,80824,21008,-2.6049872,52.916219,104.2,153,0.3,0,gps,$PDLM1,100035,87.9,-0.23,27.6,1.39
220324,80825,21008,-2.6049865,52.9162195,104.1,152.9,0.3,0,gps,$PDLM1,100036,87.7,-0.23,27.7,1.39
220324,80826,21008,-2.6049858,52.9162205,104.1,152.9,0.4,0,gps,$PDLM1,100037,87.7,-0.24,27.7,1.39
220324,80827,21008,-2.6049852,52.9162213,103.9,152.7,0.4,0,gps,$PDLM1,100038,87.8,-0.23,27.7,1.38
220324,80828,21008,-2.6049845,52.916222,103.7,152.5,0.3,0,gps,$PDLM1,100039,87.8,-0.23,27.8,1.39
220324,80829,21008,-2.6049842,52.9162227,103.5,152.3,0.3,0,gps,$PDLM1,100040,87.8,-0.23,27.8,1.39
220324,80830,21008,-2.6049832,52.9162237,103.5,152.3,0.4,0,gps,$PDLM1,100041,87.8,-0.23,27.7,1.39
220324,80831,21008,-2.6049822,52.9162245,103.5,152.3,0.4,0,gps,$PDLM1,100042,87.7,-0.23,27.7,1.38
220324,80832,21008,-2.6049817,52.9162257,103.4,152.2,0.4,0,gps,$PDLM1,100043,87.8,-0.23,27.7,1.39
220324,80833,21008,-2.6049797,52.9162253,103.4,152.2,0.4,0,gps,$PDLM1,100044,88,-0.23,27.7,1.38
220324,80834,21008,-2.6049715,52.9162177,103.5,152.3,1.9,0,gps,$PDLM1,100045,87.8,-0.21,27.9,1.38
220324,80835,21008,-2.6049595,52.9162082,103.9,152.7,3.3,0,gps,$PDLM1,100046,84.7,-0.33,24.9,1.31
220324,80836,21008,-2.6049463,52.9161985,104.3,153.1,4.2,0,gps,$PDLM1,100047,84.2,-0.37,25.3,1.32
220324,80837,21008,-2.6049315,52.9161888,104.6,153.4,4.7,0,gps,$PDLM1,100048,84,-0.36,26,1.36
220324,80838,21008,-2.6049213,52.9161748,104.6,153.4,5.4,0,gps,$PDLM1,100049,83.1,-0.37,24.8,1.35
220324,80839,21008,-2.6049133,52.916161,104.6,153.4,5.6,0,gps,$PDLM1,100050,81.6,-0.37,22.4,1.3
220324,80840,21008,-2.6049023,52.9161493,104.7,153.5,5.5,0,gps,$PDLM1,100051,80.9,-0.31,21.4,1.33
220324,80841,21207,-2.6048973,52.916133,104.8,153.6,6,0,gps,$PDLM1,100052,83.3,-0.39,25.6,1.35
220324,80842,21207,-2.604889,52.9161183,105.1,153.9,6.1,0,gps,$PDLM1,100053,83.8,-0.35,25.5,1.36
220324,80843,21207,-2.6048765,52.9161052,105.1,153.9,6.1,0,gps,$PDLM1,100054,83.4,-0.36,24.5,1.35
220324,80844,21207,-2.6048655,52.9160918,105.3,154.1,6,0,gps,$PDLM1,100055,81.9,-0.38,23.4,1.32
220324,80845,21207,-2.6048548,52.916078,105.5,154.3,6.1,0,gps,$PDLM1,100056,82.1,-0.38,23.5,1.31
220324,80846,21207,-2.6048453,52.9160637,105.7,154.5,6.1,0,gps,$PDLM1,100057,80.4,-0.37,20.7,1.29
220324,80847,21207,-2.6048337,52.9160483,105.8,154.6,6.4,0,gps,$PDLM1,100058,83.6,-0.38,24.8,1.34
220324,80848,21207,-2.6048197,52.9160348,106,154.8,6.4,0,gps,$PDLM1,100059,82,-0.39,23,1.31
220324,80849,21207,-2.604805,52.9160228,106.2,155,6.2,0,gps,$PDLM1,100060,82.3,-0.37,22.3,1.3
220324,80850,21207,-2.6047928,52.9160093,106.4,155.2,6.2,0,gps,$PDLM1,100061,82.9,-0.39,24.8,1.32
220324,80851,21207,-2.6047785,52.9159948,106.5,155.3,6.5,0,gps,$PDLM1,100062,82.2,-0.38,22.5,1.31
220324,80852,21207,-2.6047628,52.9159785,106.7,155.5,7,0,gps,$PDLM1,100063,82.1,-0.39,23.5,1.33
220324,80853,21207,-2.6047485,52.9159613,106.7,155.5,7.4,0,gps,$PDLM1,100064,82.7,-0.39,23.7,1.33
